Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.628929	1	0	1	-98.2692
0.629929	1	0	1	-98.2692
0.630929	1	0	1	-98.2692
0.631929	1	0	1	-98.2692
0.632929	1	0	1	-98.2692
0.633929	1	0	1	-98.2692
0.634929	1	0	1	-98.2692
0.635929	1	0	1	-98.2692
0.636929	1	0	1	-98.2692
0.637929	1	0	1	-98.2692
0.638929	1	0	1	-98.2692
0.639929	1	0	1	-98.2692
0.640929	1	0	1	-98.2692
0.641929	1	0	1	-98.2692
0.642929	1	0	1	-98.2692
0.643929	1	0	1	-98.2692
0.644929	1	0	1	-98.2692
0.645929	1	0	1	-98.2692
0.646929	1	0	1	-98.2692
0.647929	1	0	1	-98.2692
0.648929	1	0	1	-98.2692
0.649929	1	0	1	-98.2692
0.650929	1	0	1	-98.2692
0.651929	1	0	1	-98.2692
0.652929	1	0	1	-98.2692
0.653929	1	0	1	-98.2692
0.654929	1	0	1	-98.2692
0.655929	1	0	1	-98.2692
0.656929	1	0	1	-98.2692
0.657929	1	0	1	-98.2692
0.658929	1	0	1	-98.2692
0.659929	1	0	1	-98.2692
0.660929	1	0	1	-98.2692
0.661929	1	0	1	-98.2692
0.662929	1	0	1	-98.2692
0.663929	1	0	1	-98.2692
0.664929	1	0	1	-98.2692
0.665929	1	0	1	-98.2692
0.666929	1	0	1	-98.2692
0.667929	1	0	1	-98.2692
0.668929	1	0	1	-98.2692
0.669929	1	0	1	-98.2692
0.670929	1	0	1	-98.2692
0.671929	1	0	1	-98.2692
0.672929	1	0	1	-98.2692
0.673929	1	0	1	-98.2692
0.674929	1	0	1	-98.2692
0.675929	1	0	1	-98.2692
0.676929	1	0	1	-98.2692
0.677929	1	0	1	-98.2692
0.678929	1	0	1	-98.2692
0.679929	1	0	1	-98.2692
0.680929	1	0	1	-98.2692
0.681929	1	0	1	-98.2692
0.682929	1	0	1	-98.2692
0.683929	1	0	1	-98.2692
0.684929	1	0	1	-98.2692
0.685929	1	0	1	-98.2692
0.686929	1	0	1	-98.2692
0.687929	1	0	1	-98.2692
0.688929	1	0	1	-98.2692
0.689929	1	0	1	-98.2692
0.690857	1	0	1	-98.2692
0.690929	1	0	1	-98.2692
0.691929	1	0	1	-98.2692
0.692929	1	0	1	-98.2692
0.693929	1	0	1	-98.2692
0.694929	1	0	1	-98.2692
0.695929	1	0	1	-98.2692
0.696929	1	0	1	-98.2692
0.697929	1	0	1	-98.2692
0.698929	1	0	1	-98.2692
0.699929	1	0	1	-98.2692
0.700929	1	0	1	-98.2692
0.701929	1	0	1	-98.2692
0.702929	1	0	1	-98.2692
0.703929	1	0	1	-98.2692
0.704929	1	0	1	-98.2692
0.705929	1	0	1	-98.2692
0.706929	1	0	1	-98.2692
0.707929	1	0	1	-98.2692
0.708929	1	0	1	-98.2692
0.709929	1	0	1	-98.2692
0.710929	1	0	1	-98.2692
0.711929	1	0	1	-98.2692
0.712929	1	0	1	-98.2692
0.713929	1	0	1	-98.2692
0.714929	1	0	1	-98.2692
0.715929	1	0	1	-98.2692
0.716929	1	0	1	-98.2692
0.717929	1	0	1	-98.2692
0.718929	1	0	1	-98.2692
0.719929	1	0	1	-98.2692
0.720929	1	0	1	-98.2692
0.721929	1	0	1	-98.2692
0.722929	1	0	1	-98.2692
0.723929	1	0	1	-98.2692
0.724929	1	0	1	-98.2692
0.725929	1	0	1	-98.2692
0.726929	1	0	1	-98.2692
0.727929	1	0	1	-98.2692
0.728929	1	0	1	-98.2692
0.729929	1	0	1	-98.2692
0.730929	1	0	1	-98.2692
0.731929	1	0	1	-98.2692
0.732929	1	0	1	-98.2692
0.733929	1	0	1	-98.2692
0.734929	1	0	1	-98.2692
0.735929	1	0	1	-98.2692
0.736929	1	0	1	-98.2692
0.737929	1	0	1	-98.2692
0.738929	1	0	1	-98.2692
0.739929	1	0	1	-98.2692
0.740929	1	0	1	-98.2692
0.741929	1	0	1	-98.2692
0.742929	1	0	1	-98.2692
0.743929	1	0	1	-98.2692
0.744929	1	0	1	-98.2692
0.745929	1	0	1	-98.2692
0.746929	1	0	1	-98.2692
0.747929	1	0	1	-98.2692
0.748929	1	0	1	-98.2692
0.749929	1	0	1	-98.2692
0.750929	1	0	1	-98.2692
0.751929	1	0	1	-98.2692
0.752929	1	0	1	-98.2692
0.753929	1	0	1	-98.2692
0.754929	1	0	1	-98.2692
0.755929	1	0	1	-98.2692
0.756929	1	0	1	-98.2692
0.757929	1	0	1	-98.2692
0.758929	1	0	1	-98.2692
0.759929	1	0	1	-98.2692
0.760929	1	0	1	-98.2692
0.761929	1	0	1	-98.2692
0.762929	1	0	1	-98.2692
0.763929	1	0	1	-98.2692
0.764929	1	0	1	-98.2692
0.765929	1	0	1	-98.2692
0.766929	1	0	1	-98.2692
0.767929	1	0	1	-98.2692
0.768929	1	0	1	-98.2692
0.769929	1	0	1	-98.2692
0.770857	1	0	1	-98.2692
0.770929	1	0	1	-98.2692
0.771929	1	0	1	-98.2692
0.772929	1	0	1	-98.2692
0.773929	1	0	1	-98.2692
0.774929	1	0	1	-98.2692
0.775929	1	0	1	-98.2692
0.776929	1	0	1	-98.2692
0.777929	1	0	1	-98.2692
0.778929	1	0	1	-98.2692
0.779929	1	0	1	-98.2692
0.780929	1	0	1	-98.2692
0.781929	1	0	1	-98.2692
0.782929	1	0	1	-98.2692
0.783929	1	0	1	-98.2692
0.784929	1	0	1	-98.2692
0.785929	1	0	1	-98.2692
0.786929	1	0	1	-98.2692
0.787929	1	0	1	-98.2692
0.788929	1	0	1	-98.2692
0.789929	1	0	1	-98.2692
0.790929	1	0	1	-98.2692
0.791929	1	0	1	-98.2692
0.792929	1	0	1	-98.2692
0.793929	1	0	1	-98.2692
0.794929	1	0	1	-98.2692
0.795929	1	0	1	-98.2692
0.796929	1	0	1	-98.2692
0.797929	1	0	1	-98.2692
0.798929	1	0	1	-98.2692
0.799929	1	0	1	-98.2692
0.800929	1	0	1	-98.2692
0.801929	1	0	1	-98.2692
0.802929	1	0	1	-98.2692
0.803929	1	0	1	-98.2692
0.804929	1	0	1	-98.2692
0.805929	1	0	1	-98.2692
0.806929	1	0	1	-98.2692
0.807929	1	0	1	-98.2692
0.808929	1	0	1	-98.2692
0.809929	1	0	1	-98.2692
0.810929	1	0	1	-98.2692
0.811929	1	0	1	-98.2692
0.812929	1	0	1	-98.2692
0.813929	1	0	1	-98.2692
0.814929	1	0	1	-98.2692
0.815929	1	0	1	-98.2692
0.816929	1	0	1	-98.2692
0.817929	1	0	1	-98.2692
0.818929	1	0	1	-98.2692
0.819929	1	0	1	-98.2692
0.820929	1	0	1	-98.2692
0.821929	1	0	1	-98.2692
0.822929	1	0	1	-98.2692
0.823929	1	0	1	-98.2692
0.824929	1	0	1	-98.2692
0.825929	1	0	1	-98.2692
0.826929	1	0	1	-98.2692
0.827929	1	0	1	-98.2692
0.828929	1	0	1	-98.2692
0.829929	1	0	1	-98.2692
0.830929	1	0	1	-98.2692
0.831929	1	0	1	-98.2692
0.832929	1	0	1	-98.2692
0.833929	1	0	1	-98.2692
0.834929	1	0	1	-98.2692
0.835929	1	0	1	-98.2692
0.836929	1	0	1	-98.2692
0.837929	1	0	1	-98.2692
0.838929	1	0	1	-98.2692
0.839929	1	0	1	-98.2692
0.840929	1	0	1	-98.2692
0.841929	1	0	1	-98.2692
0.842929	1	0	1	-98.2692
0.843929	1	0	1	-98.2692
0.844929	1	0	1	-98.2692
0.845929	1	0	1	-98.2692
0.846929	1	0	1	-98.2692
0.847929	1	0	1	-98.2692
0.848929	1	0	1	-98.2692
0.849929	1	0	1	-98.2692
0.850857	1	0	1	-98.2692
0.850929	1	0	1	-98.2692
0.851929	1	0	1	-98.2692
0.852929	1	0	1	-98.2692
0.853929	1	0	1	-98.2692
0.854929	1	0	1	-98.2692
0.855929	1	0	1	-98.2692
0.856929	1	0	1	-98.2692
0.857929	1	0	1	-98.2692
0.858929	1	0	1	-98.2692
0.859929	1	0	1	-98.2692
0.860929	1	0	1	-98.2692
0.861929	1	0	1	-98.2692
0.862929	1	0	1	-98.2692
0.863929	1	0	1	-98.2692
0.864929	1	0	1	-98.2692
0.865929	1	0	1	-98.2692
0.866929	1	0	1	-98.2692
0.867929	1	0	1	-98.2692
0.868929	1	0	1	-98.2692
0.869929	1	0	1	-98.2692
0.870929	1	0	1	-98.2692
0.871929	1	0	1	-98.2692
0.872929	1	0	1	-98.2692
0.873929	1	0	1	-98.2692
0.874929	1	0	1	-98.2692
0.875929	1	0	1	-98.2692
0.876929	1	0	1	-98.2692
0.877929	1	0	1	-98.2692
0.878929	1	0	1	-98.2692
