time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.922029	1	1	5	8688	0.00302856
0.923029	1	1	5	8688	0.00302856
0.924029	1	1	5	8688	0.00302856
0.925029	1	1	5	8688	0.00302856
0.926029	1	1	5	8688	0.00302856
0.927029	1	1	5	8688	0.00302856
0.928029	1	1	5	8688	0.00302856
0.929029	1	1	5	8688	0.00302856
0.930029	1	1	5	8688	0.00302856
0.930957	1	1	5	7965	0.00295714
0.932029	1	1	5	8688	0.00302856
0.933029	1	1	5	8688	0.00302856
0.934029	1	1	5	8688	0.00302856
0.935029	1	1	5	8688	0.00302856
0.936029	1	1	5	8688	0.00302856
0.937029	1	1	5	8688	0.00302856
0.938029	1	1	5	8688	0.00302856
0.939029	1	1	5	8688	0.00302856
0.940029	1	1	5	8688	0.00302856
0.941029	1	1	5	8688	0.00302856
0.942029	1	1	5	8688	0.00302856
0.943029	1	1	5	8688	0.00302856
0.944029	1	1	5	8688	0.00302856
0.945029	1	1	5	8688	0.00302856
0.946029	1	1	5	8688	0.00302856
0.947029	1	1	5	8688	0.00302856
0.948029	1	1	5	8688	0.00302856
0.949029	1	1	5	8688	0.00302856
0.950029	1	1	5	8688	0.00302856
0.951029	1	1	5	8688	0.00302856
0.952029	1	1	5	8688	0.00302856
0.953029	1	1	5	8688	0.00302856
0.954029	1	1	5	8688	0.00302856
0.955029	1	1	5	8688	0.00302856
0.956029	1	1	5	8688	0.00302856
0.957029	1	1	5	8688	0.00302856
0.958029	1	1	5	8688	0.00302856
0.959029	1	1	5	8688	0.00302856
0.960029	1	1	5	8688	0.00302856
0.961029	1	1	5	8688	0.00302856
0.962029	1	1	5	8688	0.00302856
0.963029	1	1	5	8688	0.00302856
0.964029	1	1	5	8688	0.00302856
0.965029	1	1	5	8688	0.00302856
0.966029	1	1	5	8688	0.00302856
0.967029	1	1	5	8688	0.00302856
0.968029	1	1	5	8688	0.00302856
0.969029	1	1	5	8688	0.00302856
0.970029	1	1	5	8688	0.00302856
0.971029	1	1	5	8688	0.00302856
0.972029	1	1	5	8688	0.00302856
0.973029	1	1	5	8688	0.00302856
0.974029	1	1	5	8688	0.00302856
0.975029	1	1	5	8688	0.00302856
0.976029	1	1	5	8688	0.00302856
0.977029	1	1	5	8688	0.00302856
0.978029	1	1	5	8688	0.00302856
0.979029	1	1	5	8688	0.00302856
0.980029	1	1	5	8688	0.00302856
0.981029	1	1	5	8688	0.00302856
0.982029	1	1	5	8688	0.00302856
0.983029	1	1	5	8688	0.00302856
0.984029	1	1	5	8688	0.00302856
0.985029	1	1	5	8688	0.00302856
0.986029	1	1	5	8688	0.00302856
0.987029	1	1	5	8688	0.00302856
0.988029	1	1	5	8688	0.00302856
0.989029	1	1	5	8688	0.00302856
0.990029	1	1	5	8688	0.00302856
0.991029	1	1	5	8688	0.00302856
0.992029	1	1	5	8688	0.00302856
0.993029	1	1	5	8688	0.00302856
0.994029	1	1	5	8688	0.00302856
0.995029	1	1	5	8688	0.00302856
0.996029	1	1	5	8688	0.00302856
0.997029	1	1	5	8688	0.00302856
0.998029	1	1	5	8688	0.00302856
0.999029	1	1	5	8688	0.00302856
1.00003	1	1	5	8688	0.00302856
