Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.697929	DL	69	7	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.698929	DL	69	8	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.699929	DL	69	9	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.700929	DL	70	0	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.701929	DL	70	1	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.702929	DL	70	2	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.703929	DL	70	3	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.704929	DL	70	4	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.705929	DL	70	5	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.706929	DL	70	6	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.707929	DL	70	7	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.708929	DL	70	8	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.709929	DL	70	9	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.710929	DL	71	0	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.711929	DL	71	1	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.712929	DL	71	2	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.713929	DL	71	3	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
