time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.18803	1	1	5	1030	0.526027
1.18803	1	1	5	1030	0.525987
1.18803	1	1	5	1030	0.525947
1.18903	1	1	5	1030	0.526907
1.18903	1	1	5	1030	0.526867
1.18903	1	1	5	1030	0.526827
1.18903	1	1	5	1030	0.526787
1.18903	1	1	5	1030	0.526747
1.18903	1	1	5	1030	0.526707
1.18903	1	1	5	1030	0.526667
1.18903	1	1	5	1030	0.526627
1.18903	1	1	5	1030	0.526587
1.19003	1	1	5	1030	0.527547
1.19003	1	1	5	1030	0.527507
1.19003	1	1	5	1030	0.527467
1.19003	1	1	5	1030	0.527427
1.19003	1	1	5	1030	0.527387
1.19003	1	1	5	1030	0.527347
1.19003	1	1	5	1030	0.527307
1.19003	1	1	5	1030	0.527267
1.19103	1	1	5	1030	0.528227
1.19103	1	1	5	1030	0.528187
1.19103	1	1	5	1030	0.528147
1.19103	1	1	5	1030	0.528107
1.19103	1	1	5	1030	0.528067
1.19103	1	1	5	1030	0.528027
1.19103	1	1	5	1030	0.527987
1.19103	1	1	5	1030	0.527947
1.19103	1	1	5	1030	0.527907
1.19203	1	1	5	1030	0.528867
1.19203	1	1	5	1030	0.528827
1.19203	1	1	5	1030	0.528787
1.19203	1	1	5	1030	0.528747
1.19203	1	1	5	1030	0.528707
1.19203	1	1	5	1030	0.528667
1.19203	1	1	5	1030	0.528627
1.19203	1	1	5	1030	0.528587
1.19303	1	1	5	1030	0.529547
1.19303	1	1	5	1030	0.529507
1.19303	1	1	5	1030	0.529467
1.19303	1	1	5	1030	0.529427
1.19303	1	1	5	1030	0.529387
1.19303	1	1	5	1030	0.529347
1.19303	1	1	5	1030	0.529307
1.19303	1	1	5	1030	0.529267
1.19403	1	1	5	1030	0.530227
1.19403	1	1	5	1030	0.530187
1.19403	1	1	5	1030	0.530147
1.19403	1	1	5	1030	0.530107
1.19403	1	1	5	1030	0.530067
1.19403	1	1	5	1030	0.530027
1.19403	1	1	5	1030	0.529987
1.19403	1	1	5	1030	0.529947
1.19403	1	1	5	1030	0.529907
1.19503	1	1	5	1030	0.530867
1.19503	1	1	5	1030	0.530827
1.19503	1	1	5	1030	0.530787
1.19503	1	1	5	1030	0.530747
1.19503	1	1	5	1030	0.530707
1.19503	1	1	5	1030	0.530667
1.19503	1	1	5	1030	0.530627
1.19503	1	1	5	1030	0.530587
1.19603	1	1	5	1030	0.531547
1.19603	1	1	5	1030	0.531507
1.19603	1	1	5	1030	0.531467
1.19603	1	1	5	1030	0.531427
1.19603	1	1	5	1030	0.531387
1.19603	1	1	5	1030	0.531347
1.19603	1	1	5	1030	0.531307
1.19603	1	1	5	1030	0.531267
1.19603	1	1	5	1030	0.531227
1.19703	1	1	5	1030	0.532187
1.19703	1	1	5	1030	0.532147
1.19703	1	1	5	1030	0.532107
1.19703	1	1	5	1030	0.532067
1.19703	1	1	5	1030	0.532027
1.19703	1	1	5	1030	0.531987
1.19703	1	1	5	1030	0.531947
1.19703	1	1	5	1030	0.531907
1.19803	1	1	5	1030	0.532867
1.19803	1	1	5	1030	0.532827
1.19803	1	1	5	1030	0.532787
1.19803	1	1	5	1030	0.532747
1.19803	1	1	5	1030	0.532707
1.19803	1	1	5	1030	0.532667
1.19803	1	1	5	1030	0.532627
1.19803	1	1	5	1030	0.532587
1.19903	1	1	5	1030	0.533547
1.19903	1	1	5	1030	0.533507
1.19903	1	1	5	1030	0.533467
1.19903	1	1	5	1030	0.533427
1.19903	1	1	5	1030	0.533387
1.19903	1	1	5	1030	0.533347
1.19903	1	1	5	1030	0.533307
1.19903	1	1	5	1030	0.533267
1.19903	1	1	5	1030	0.533227
1.20003	1	1	5	1030	0.534187
1.20003	1	1	5	1030	0.534147
1.20003	1	1	5	1030	0.534107
1.20003	1	1	5	1030	0.534067
1.20003	1	1	5	1030	0.534027
1.20003	1	1	5	1030	0.533987
1.20003	1	1	5	1030	0.533947
1.20003	1	1	5	1030	0.533907
1.20103	1	1	5	1030	0.534867
