Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
1.122	gNB PHY Rxed	112	1	0	1	1	0	DL_CQI
1.122	gNB PHY Rxed	112	1	0	1	1	0	DL_HARQ
1.123	gNB PHY Rxed	112	2	0	1	1	0	DL_CQI
1.123	gNB PHY Rxed	112	2	0	1	1	0	DL_HARQ
1.124	gNB PHY Rxed	112	3	0	1	1	0	DL_CQI
1.124	gNB PHY Rxed	112	3	0	1	1	0	DL_HARQ
1.125	gNB PHY Rxed	112	4	0	1	1	0	DL_CQI
1.125	gNB PHY Rxed	112	4	0	1	1	0	DL_HARQ
1.126	gNB PHY Rxed	112	5	0	1	1	0	DL_CQI
1.126	gNB PHY Rxed	112	5	0	1	1	0	DL_HARQ
1.127	gNB PHY Rxed	112	6	0	1	1	0	DL_CQI
1.127	gNB PHY Rxed	112	6	0	1	1	0	DL_HARQ
1.128	gNB PHY Rxed	112	7	0	1	1	0	DL_CQI
1.128	gNB PHY Rxed	112	7	0	1	1	0	DL_HARQ
1.129	gNB PHY Rxed	112	8	0	1	1	0	DL_CQI
1.129	gNB PHY Rxed	112	8	0	1	1	0	DL_HARQ
1.13	gNB PHY Rxed	112	9	0	1	1	0	DL_CQI
1.13	gNB PHY Rxed	112	9	0	1	1	0	DL_HARQ
1.131	gNB PHY Rxed	113	0	0	1	1	0	DL_CQI
1.131	gNB PHY Rxed	113	0	0	1	1	0	DL_HARQ
1.132	gNB PHY Rxed	113	1	0	1	1	0	DL_CQI
1.132	gNB PHY Rxed	113	1	0	1	1	0	DL_HARQ
1.133	gNB PHY Rxed	113	2	0	1	1	0	DL_CQI
1.133	gNB PHY Rxed	113	2	0	1	1	0	DL_HARQ
1.134	gNB PHY Rxed	113	3	0	1	1	0	DL_CQI
1.134	gNB PHY Rxed	113	3	0	1	1	0	DL_HARQ
1.135	gNB PHY Rxed	113	4	0	1	1	0	DL_CQI
1.135	gNB PHY Rxed	113	4	0	1	1	0	DL_HARQ
1.136	gNB PHY Rxed	113	5	0	1	1	0	DL_CQI
1.136	gNB PHY Rxed	113	5	0	1	1	0	DL_HARQ
1.137	gNB PHY Rxed	113	6	0	1	1	0	DL_CQI
1.137	gNB PHY Rxed	113	6	0	1	1	0	DL_HARQ
1.138	gNB PHY Rxed	113	7	0	1	1	0	DL_CQI
1.138	gNB PHY Rxed	113	7	0	1	1	0	DL_HARQ
1.139	gNB PHY Rxed	113	8	0	1	1	0	DL_CQI
1.139	gNB PHY Rxed	113	8	0	1	1	0	DL_HARQ
1.14	gNB PHY Rxed	113	9	0	1	1	0	DL_CQI
1.14	gNB PHY Rxed	113	9	0	1	1	0	DL_HARQ
1.141	gNB PHY Rxed	114	0	0	1	1	0	DL_CQI
1.141	gNB PHY Rxed	114	0	0	1	1	0	DL_HARQ
1.142	gNB PHY Rxed	114	1	0	1	1	0	DL_CQI
1.142	gNB PHY Rxed	114	1	0	1	1	0	DL_HARQ
1.143	gNB PHY Rxed	114	2	0	1	1	0	DL_CQI
1.143	gNB PHY Rxed	114	2	0	1	1	0	DL_HARQ
