time(s)	cellId	rnti	lcid	packetSize
0.936	1	1	5	8688
0.937	1	1	5	8688
0.938	1	1	5	8688
0.939	1	1	5	8688
0.94	1	1	5	8688
0.941	1	1	5	8688
0.942	1	1	5	8688
0.943	1	1	5	8688
0.944	1	1	5	8688
0.945	1	1	5	8688
0.946	1	1	5	8688
0.947	1	1	5	8688
0.948	1	1	5	8688
0.949	1	1	5	8688
0.95	1	1	5	8688
0.951	1	1	5	8688
0.952	1	1	5	8688
0.953	1	1	5	8688
0.954	1	1	5	8688
0.955	1	1	5	8688
0.956	1	1	5	8688
0.957	1	1	5	8688
0.958	1	1	5	8688
0.959	1	1	5	8688
0.96	1	1	5	8688
0.961	1	1	5	8688
0.962	1	1	5	8688
0.963	1	1	5	8688
0.964	1	1	5	8688
0.965	1	1	5	8688
0.966	1	1	5	8688
0.967	1	1	5	8688
0.968	1	1	5	8688
0.969	1	1	5	8688
0.97	1	1	5	8688
0.971	1	1	5	8688
0.972	1	1	5	8688
0.973	1	1	5	8688
0.974	1	1	5	8688
0.975	1	1	5	8688
0.976	1	1	5	8688
0.977	1	1	5	8688
0.978	1	1	5	8688
0.979	1	1	5	8688
0.98	1	1	5	8688
0.981	1	1	5	8688
0.982	1	1	5	8688
0.983	1	1	5	8688
0.984	1	1	5	8688
0.985	1	1	5	8688
0.986	1	1	5	8688
0.987	1	1	5	8688
0.988	1	1	5	8688
0.989	1	1	5	8688
0.99	1	1	5	8688
0.991	1	1	5	8688
0.992	1	1	5	8688
0.993	1	1	5	8688
0.994	1	1	5	8688
0.995	1	1	5	8688
0.996	1	1	5	8688
0.997	1	1	5	8688
0.998	1	1	5	8688
0.999	1	1	5	8688
1	1	1	5	8688
1.001	1	1	5	8688
1.002	1	1	5	8688
1.003	1	1	5	8688
1.004	1	1	5	8688
1.005	1	1	5	8688
1.006	1	1	5	8688
1.007	1	1	5	8688
1.008	1	1	5	7965
1.009	1	1	5	8688
1.01	1	1	5	8688
1.011	1	1	5	8688
1.012	1	1	5	8688
1.013	1	1	5	8688
1.014	1	1	5	8688
1.015	1	1	5	8688
1.016	1	1	5	8688
1.017	1	1	5	8688
1.018	1	1	5	8688
1.019	1	1	5	8688
1.02	1	1	5	8688
1.021	1	1	5	8688
1.022	1	1	5	8688
1.023	1	1	5	8688
1.024	1	1	5	8688
1.025	1	1	5	8688
1.026	1	1	5	8688
1.027	1	1	5	8688
1.028	1	1	5	8688
1.029	1	1	5	8688
1.03	1	1	5	8688
1.031	1	1	5	8688
1.032	1	1	5	8688
1.033	1	1	5	8688
1.034	1	1	5	8688
1.035	1	1	5	8688
1.036	1	1	5	8688
1.037	1	1	5	8688
1.038	1	1	5	8688
1.039	1	1	5	8688
1.04	1	1	5	8688
1.041	1	1	5	8688
1.042	1	1	5	8687
1.043	1	1	5	8688
1.044	1	1	5	8688
1.045	1	1	5	8688
1.046	1	1	5	8688
1.047	1	1	5	8688
1.048	1	1	5	8688
1.049	1	1	5	8688
1.05	1	1	5	8688
1.051	1	1	5	8688
1.052	1	1	5	8688
1.053	1	1	5	8688
1.054	1	1	5	8688
1.055	1	1	5	8688
1.056	1	1	5	8688
1.057	1	1	5	8688
1.058	1	1	5	8688
1.059	1	1	5	8688
1.06	1	1	5	8688
1.061	1	1	5	8688
1.062	1	1	5	8688
1.063	1	1	5	8688
1.064	1	1	5	8688
1.065	1	1	5	8688
1.066	1	1	5	8688
1.067	1	1	5	8688
1.068	1	1	5	8688
1.069	1	1	5	8688
1.07	1	1	5	8688
1.071	1	1	5	8688
1.072	1	1	5	8688
1.073	1	1	5	8688
1.074	1	1	5	8688
1.075	1	1	5	8688
1.076	1	1	5	8688
1.077	1	1	5	8688
1.078	1	1	5	8688
1.079	1	1	5	8688
1.08	1	1	5	8688
1.081	1	1	5	8688
1.082	1	1	5	8688
1.083	1	1	5	8688
1.084	1	1	5	8688
1.085	1	1	5	8688
1.086	1	1	5	8688
1.087	1	1	5	8688
1.088	1	1	5	7965
1.089	1	1	5	8688
1.09	1	1	5	8688
1.091	1	1	5	8688
1.092	1	1	5	8688
1.093	1	1	5	8688
1.094	1	1	5	8688
1.095	1	1	5	8688
1.096	1	1	5	8688
1.097	1	1	5	8688
1.098	1	1	5	8688
1.099	1	1	5	8688
1.1	1	1	5	8688
1.101	1	1	5	8688
1.102	1	1	5	8688
1.103	1	1	5	8688
1.104	1	1	5	8688
1.105	1	1	5	8688
1.106	1	1	5	8688
1.107	1	1	5	8688
1.108	1	1	5	8688
1.109	1	1	5	8688
1.11	1	1	5	8688
1.111	1	1	5	8688
1.112	1	1	5	8688
1.113	1	1	5	8688
1.114	1	1	5	8688
1.115	1	1	5	8687
1.116	1	1	5	8688
1.117	1	1	5	8688
1.118	1	1	5	8688
1.119	1	1	5	8688
1.12	1	1	5	8688
1.121	1	1	5	8688
1.122	1	1	5	8688
1.123	1	1	5	8688
1.124	1	1	5	8688
1.125	1	1	5	8688
1.126	1	1	5	8688
1.127	1	1	5	8688
1.128	1	1	5	8688
1.129	1	1	5	8688
1.13	1	1	5	8688
1.131	1	1	5	8688
1.132	1	1	5	8688
1.133	1	1	5	8688
1.134	1	1	5	8688
1.135	1	1	5	8688
1.136	1	1	5	8688
1.137	1	1	5	8688
1.138	1	1	5	8688
1.139	1	1	5	8688
1.14	1	1	5	8688
1.141	1	1	5	8688
1.142	1	1	5	8688
1.143	1	1	5	8688
1.144	1	1	5	8688
1.145	1	1	5	8688
1.146	1	1	5	8688
1.147	1	1	5	8688
1.148	1	1	5	8688
1.149	1	1	5	8688
1.15	1	1	5	8688
1.151	1	1	5	8688
1.152	1	1	5	8688
1.153	1	1	5	8688
1.154	1	1	5	8688
1.155	1	1	5	8688
1.156	1	1	5	8688
1.157	1	1	5	8688
1.158	1	1	5	8688
1.159	1	1	5	8688
1.16	1	1	5	8688
1.161	1	1	5	8688
1.162	1	1	5	8688
1.163	1	1	5	8688
1.164	1	1	5	8688
1.165	1	1	5	8688
1.166	1	1	5	8688
1.167	1	1	5	8688
1.168	1	1	5	7965
1.169	1	1	5	8688
1.17	1	1	5	8688
1.171	1	1	5	8688
1.172	1	1	5	8688
1.173	1	1	5	8688
1.174	1	1	5	8688
1.175	1	1	5	8688
1.176	1	1	5	8688
1.177	1	1	5	8688
1.178	1	1	5	8688
1.179	1	1	5	8688
1.18	1	1	5	8688
1.181	1	1	5	8688
1.182	1	1	5	8688
1.183	1	1	5	8688
1.184	1	1	5	8688
1.185	1	1	5	8688
1.186	1	1	5	8688
1.187	1	1	5	8688
1.188	1	1	5	8687
1.189	1	1	5	8688
1.19	1	1	5	8688
1.191	1	1	5	8688
1.192	1	1	5	8688
1.193	1	1	5	8688
1.194	1	1	5	8688
1.195	1	1	5	8688
1.196	1	1	5	8688
1.197	1	1	5	8688
1.198	1	1	5	8688
1.199	1	1	5	8688
1.2	1	1	5	8688
1.201	1	1	5	8688
1.202	1	1	5	8688
1.203	1	1	5	8688
1.204	1	1	5	8688
1.205	1	1	5	8688
1.206	1	1	5	8688
1.207	1	1	5	8688
1.208	1	1	5	8688
1.209	1	1	5	8688
1.21	1	1	5	8688
1.211	1	1	5	8688
1.212	1	1	5	8688
1.213	1	1	5	8688
1.214	1	1	5	8688
1.215	1	1	5	8688
1.216	1	1	5	8688
1.217	1	1	5	8688
1.218	1	1	5	8688
1.219	1	1	5	8688
1.22	1	1	5	8688
1.221	1	1	5	8688
1.222	1	1	5	8688
1.223	1	1	5	8688
1.224	1	1	5	8688
1.225	1	1	5	8688
1.226	1	1	5	8688
1.227	1	1	5	8688
1.228	1	1	5	8688
1.229	1	1	5	8688
1.23	1	1	5	8688
1.231	1	1	5	8688
1.232	1	1	5	8688
1.233	1	1	5	8688
1.234	1	1	5	8688
1.235	1	1	5	8688
1.236	1	1	5	8688
1.237	1	1	5	8688
1.238	1	1	5	8688
1.239	1	1	5	8688
1.24	1	1	5	8688
1.241	1	1	5	8688
1.242	1	1	5	8688
1.243	1	1	5	8688
1.244	1	1	5	8688
1.245	1	1	5	8688
1.246	1	1	5	8688
1.247	1	1	5	8688
1.248	1	1	5	7965
1.249	1	1	5	8688
1.25	1	1	5	8688
1.251	1	1	5	8688
1.252	1	1	5	8688
1.253	1	1	5	8688
1.254	1	1	5	8688
1.255	1	1	5	8688
1.256	1	1	5	8688
1.257	1	1	5	8688
1.258	1	1	5	8688
1.259	1	1	5	8688
1.26	1	1	5	8688
1.261	1	1	5	8687
1.262	1	1	5	8688
1.263	1	1	5	8688
1.264	1	1	5	8688
1.265	1	1	5	8688
1.266	1	1	5	8688
1.267	1	1	5	8688
1.268	1	1	5	8688
1.269	1	1	5	8688
1.27	1	1	5	8688
1.271	1	1	5	8688
1.272	1	1	5	8688
1.273	1	1	5	8688
1.274	1	1	5	8688
1.275	1	1	5	8688
1.276	1	1	5	8688
1.277	1	1	5	8688
1.278	1	1	5	8688
1.279	1	1	5	8688
1.28	1	1	5	8688
1.281	1	1	5	8688
1.282	1	1	5	8688
1.283	1	1	5	8688
1.284	1	1	5	8688
1.285	1	1	5	8688
1.286	1	1	5	8688
1.287	1	1	5	8688
1.288	1	1	5	8688
1.289	1	1	5	8688
1.29	1	1	5	8688
1.291	1	1	5	8688
1.292	1	1	5	8688
1.293	1	1	5	8688
1.294	1	1	5	8688
1.295	1	1	5	8688
1.296	1	1	5	8688
1.297	1	1	5	8688
1.298	1	1	5	8688
1.299	1	1	5	8688
1.3	1	1	5	8688
1.301	1	1	5	8688
1.302	1	1	5	8688
1.303	1	1	5	8688
1.304	1	1	5	8688
1.305	1	1	5	8688
1.306	1	1	5	8688
1.307	1	1	5	8688
1.308	1	1	5	8688
1.309	1	1	5	8688
1.31	1	1	5	8688
1.311	1	1	5	8688
1.312	1	1	5	8688
1.313	1	1	5	8688
1.314	1	1	5	8688
1.315	1	1	5	8688
1.316	1	1	5	8688
1.317	1	1	5	8688
1.318	1	1	5	8688
1.319	1	1	5	8688
1.32	1	1	5	8688
1.321	1	1	5	8688
1.322	1	1	5	8688
1.323	1	1	5	8688
1.324	1	1	5	8688
1.325	1	1	5	8688
1.326	1	1	5	8688
1.327	1	1	5	8688
1.328	1	1	5	7965
1.329	1	1	5	8688
1.33	1	1	5	8688
1.331	1	1	5	8688
1.332	1	1	5	8688
1.333	1	1	5	8688
1.334	1	1	5	8687
1.335	1	1	5	8688
1.336	1	1	5	8688
1.337	1	1	5	8688
1.338	1	1	5	8688
1.339	1	1	5	8688
1.34	1	1	5	8688
1.341	1	1	5	8688
1.342	1	1	5	8688
1.343	1	1	5	8688
1.344	1	1	5	8688
1.345	1	1	5	8688
1.346	1	1	5	8688
1.347	1	1	5	8688
1.348	1	1	5	8688
1.349	1	1	5	8688
1.35	1	1	5	8688
1.351	1	1	5	8688
1.352	1	1	5	8688
1.353	1	1	5	8688
1.354	1	1	5	8688
1.355	1	1	5	8688
1.356	1	1	5	8688
1.357	1	1	5	8688
1.358	1	1	5	8688
1.359	1	1	5	8688
1.36	1	1	5	8688
1.361	1	1	5	8688
1.362	1	1	5	8688
1.363	1	1	5	8688
1.364	1	1	5	8688
1.365	1	1	5	8688
1.366	1	1	5	8688
1.367	1	1	5	8688
1.368	1	1	5	8688
1.369	1	1	5	8688
1.37	1	1	5	8688
1.371	1	1	5	8688
1.372	1	1	5	8688
1.373	1	1	5	8688
1.374	1	1	5	8688
1.375	1	1	5	8688
1.376	1	1	5	8688
1.377	1	1	5	8688
1.378	1	1	5	8688
1.379	1	1	5	8688
1.38	1	1	5	8688
1.381	1	1	5	8688
1.382	1	1	5	8688
1.383	1	1	5	8688
1.384	1	1	5	8688
1.385	1	1	5	8688
1.386	1	1	5	8688
1.387	1	1	5	8688
1.388	1	1	5	8688
1.389	1	1	5	8688
1.39	1	1	5	8688
1.391	1	1	5	8688
1.392	1	1	5	8688
1.393	1	1	5	8688
1.394	1	1	5	8688
1.395	1	1	5	8688
1.396	1	1	5	8688
1.397	1	1	5	8688
1.398	1	1	5	8688
1.399	1	1	5	8688
