time(s)	cellId	rnti	lcid	packetSize
0.907362	1	1	5	1030
0.907402	1	1	5	1030
0.907442	1	1	5	1030
0.907482	1	1	5	1030
0.907522	1	1	5	1030
0.907562	1	1	5	1030
0.907602	1	1	5	1030
0.907642	1	1	5	1030
0.907682	1	1	5	1030
0.907722	1	1	5	1030
0.907762	1	1	5	1030
0.907802	1	1	5	1030
0.907842	1	1	5	1030
0.907882	1	1	5	1030
0.907922	1	1	5	1030
0.907962	1	1	5	1030
0.908002	1	1	5	1030
0.908042	1	1	5	1030
0.908082	1	1	5	1030
0.908122	1	1	5	1030
0.908162	1	1	5	1030
0.908202	1	1	5	1030
0.908242	1	1	5	1030
0.908282	1	1	5	1030
0.908322	1	1	5	1030
0.908362	1	1	5	1030
0.908402	1	1	5	1030
0.908442	1	1	5	1030
0.908482	1	1	5	1030
0.908522	1	1	5	1030
0.908562	1	1	5	1030
0.908602	1	1	5	1030
0.908642	1	1	5	1030
0.908682	1	1	5	1030
0.908722	1	1	5	1030
0.908762	1	1	5	1030
0.908802	1	1	5	1030
0.908842	1	1	5	1030
0.908882	1	1	5	1030
0.908922	1	1	5	1030
0.908962	1	1	5	1030
0.909002	1	1	5	1030
0.909042	1	1	5	1030
0.909082	1	1	5	1030
0.909122	1	1	5	1030
0.909162	1	1	5	1030
0.909202	1	1	5	1030
0.909242	1	1	5	1030
0.909282	1	1	5	1030
0.909322	1	1	5	1030
0.909362	1	1	5	1030
0.909402	1	1	5	1030
0.909442	1	1	5	1030
0.909482	1	1	5	1030
0.909522	1	1	5	1030
0.909562	1	1	5	1030
0.909602	1	1	5	1030
0.909642	1	1	5	1030
0.909682	1	1	5	1030
0.909722	1	1	5	1030
0.909762	1	1	5	1030
0.909802	1	1	5	1030
0.909842	1	1	5	1030
0.909882	1	1	5	1030
0.909922	1	1	5	1030
0.909962	1	1	5	1030
0.910002	1	1	5	1030
0.910042	1	1	5	1030
0.910082	1	1	5	1030
0.910122	1	1	5	1030
0.910162	1	1	5	1030
0.910202	1	1	5	1030
0.910242	1	1	5	1030
0.910282	1	1	5	1030
0.910322	1	1	5	1030
0.910362	1	1	5	1030
0.910402	1	1	5	1030
0.910442	1	1	5	1030
0.910482	1	1	5	1030
0.910522	1	1	5	1030
0.910562	1	1	5	1030
0.910602	1	1	5	1030
0.910642	1	1	5	1030
0.910682	1	1	5	1030
0.910722	1	1	5	1030
0.910762	1	1	5	1030
0.910802	1	1	5	1030
0.910842	1	1	5	1030
0.910882	1	1	5	1030
0.910922	1	1	5	1030
0.910962	1	1	5	1030
0.911002	1	1	5	1030
0.911042	1	1	5	1030
0.911082	1	1	5	1030
0.911122	1	1	5	1030
0.911162	1	1	5	1030
0.911202	1	1	5	1030
0.911242	1	1	5	1030
0.911282	1	1	5	1030
0.911322	1	1	5	1030
0.911362	1	1	5	1030
0.911402	1	1	5	1030
0.911442	1	1	5	1030
0.911482	1	1	5	1030
0.911522	1	1	5	1030
0.911562	1	1	5	1030
0.911602	1	1	5	1030
0.911642	1	1	5	1030
0.911682	1	1	5	1030
0.911722	1	1	5	1030
0.911762	1	1	5	1030
0.911802	1	1	5	1030
0.911842	1	1	5	1030
0.911882	1	1	5	1030
0.911922	1	1	5	1030
0.911962	1	1	5	1030
0.912002	1	1	5	1030
0.912042	1	1	5	1030
0.912082	1	1	5	1030
0.912122	1	1	5	1030
0.912162	1	1	5	1030
0.912202	1	1	5	1030
0.912242	1	1	5	1030
0.912282	1	1	5	1030
0.912322	1	1	5	1030
0.912362	1	1	5	1030
0.912402	1	1	5	1030
0.912442	1	1	5	1030
0.912482	1	1	5	1030
0.912522	1	1	5	1030
0.912562	1	1	5	1030
0.912602	1	1	5	1030
0.912642	1	1	5	1030
0.912682	1	1	5	1030
0.912722	1	1	5	1030
0.912762	1	1	5	1030
0.912802	1	1	5	1030
0.912842	1	1	5	1030
0.912882	1	1	5	1030
0.912922	1	1	5	1030
0.912962	1	1	5	1030
0.913002	1	1	5	1030
0.913042	1	1	5	1030
0.913082	1	1	5	1030
0.913122	1	1	5	1030
0.913162	1	1	5	1030
0.913202	1	1	5	1030
0.913242	1	1	5	1030
0.913282	1	1	5	1030
0.913322	1	1	5	1030
0.913362	1	1	5	1030
0.913402	1	1	5	1030
0.913442	1	1	5	1030
0.913482	1	1	5	1030
0.913522	1	1	5	1030
0.913562	1	1	5	1030
0.913602	1	1	5	1030
0.913642	1	1	5	1030
0.913682	1	1	5	1030
0.913722	1	1	5	1030
0.913762	1	1	5	1030
0.913802	1	1	5	1030
0.913842	1	1	5	1030
0.913882	1	1	5	1030
0.913922	1	1	5	1030
0.913962	1	1	5	1030
0.914002	1	1	5	1030
0.914042	1	1	5	1030
0.914082	1	1	5	1030
0.914122	1	1	5	1030
0.914162	1	1	5	1030
0.914202	1	1	5	1030
0.914242	1	1	5	1030
0.914282	1	1	5	1030
0.914322	1	1	5	1030
0.914362	1	1	5	1030
0.914402	1	1	5	1030
0.914442	1	1	5	1030
0.914482	1	1	5	1030
0.914522	1	1	5	1030
0.914562	1	1	5	1030
0.914602	1	1	5	1030
0.914642	1	1	5	1030
0.914682	1	1	5	1030
0.914722	1	1	5	1030
0.914762	1	1	5	1030
0.914802	1	1	5	1030
0.914842	1	1	5	1030
0.914882	1	1	5	1030
0.914922	1	1	5	1030
0.914962	1	1	5	1030
0.915002	1	1	5	1030
0.915042	1	1	5	1030
0.915082	1	1	5	1030
0.915122	1	1	5	1030
0.915162	1	1	5	1030
0.915202	1	1	5	1030
0.915242	1	1	5	1030
0.915282	1	1	5	1030
0.915322	1	1	5	1030
0.915362	1	1	5	1030
0.915402	1	1	5	1030
0.915442	1	1	5	1030
0.915482	1	1	5	1030
0.915522	1	1	5	1030
0.915562	1	1	5	1030
0.915602	1	1	5	1030
0.915642	1	1	5	1030
0.915682	1	1	5	1030
0.915722	1	1	5	1030
0.915762	1	1	5	1030
0.915802	1	1	5	1030
0.915842	1	1	5	1030
0.915882	1	1	5	1030
0.915922	1	1	5	1030
0.915962	1	1	5	1030
0.916002	1	1	5	1030
0.916042	1	1	5	1030
0.916082	1	1	5	1030
0.916122	1	1	5	1030
0.916162	1	1	5	1030
0.916202	1	1	5	1030
0.916242	1	1	5	1030
0.916282	1	1	5	1030
0.916322	1	1	5	1030
0.916362	1	1	5	1030
0.916402	1	1	5	1030
0.916442	1	1	5	1030
0.916482	1	1	5	1030
0.916522	1	1	5	1030
0.916562	1	1	5	1030
0.916602	1	1	5	1030
